"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"ЗлойФельдшер","465478739",584000,949000,365000,62.5
"Везучий Случай","169115164",989500,1182000,192500,19.5
"Somz","734629159",2155500,2572750,417250,19.4
"EtA Лан Пирот","781343578",3987500,4566750,579250,14.5
"Ivan","618438412",4183500,4758500,575000,13.7
"Dume","368452338",1904000,2143750,239750,12.6
"EtA Ларри","296413574",1832500,2018250,185750,10.1
"londem","199933513",4624500,5093500,469000,10.1
"pvv","597744748",1883500,2061750,178250,9.5
"vinnercikendinner","911133588",1835000,2010000,175000,9.5
"Poosha Yaw","834915361",2553000,2750500,197500,7.7
"Eta Hanteus","355649443",2915500,3073250,157750,5.4
"EtA hinaroe","766247314",1886500,1984000,97500,5.2
"DieAntwood","424794657",2426500,2536750,110250,4.5
"EtA DarthKrayt","548434391",2199000,2286000,87000,4
"EtA Kendze","424898562",1811000,1875000,64000,3.5
"Snowl","932594991",1561000,1596500,35500,2.3
"Kyle Katarn","698512858",1807000,1847000,40000,2.2
"miniAngelAzrael","179112287",2031000,2075000,44000,2.2
"maxmj","769225657",3645500,3709500,64000,1.8
"Eligor","799338872",3205500,0,,
"Karachun","556453336",2612500,0,,
"malejek","436971199",4047500,4043250,-4250,-0.1
"MrDenZz","675262654",2954000,2933250,-20750,-0.7
"EtA Al'verde Totrael","556547535",2302500,2284000,-18500,-0.8
"Rand","763924672",3006500,2884000,-122500,-4.1
"pyzer","723428342",2165000,1992000,-173000,-8
"Челябинец","389286669",1333500,1213000,-120500,-9
"Анубис","232894645",1602000,1430500,-171500,-10.7
"EtA Baniss Durron","315866559",2332000,2000250,-331750,-14.2
"Denzor97","571123282",2987500,2515500,-472000,-15.8
"KissOfJudaS","919225251",987500,831500,-156000,-15.8
"vt","375578963",1916000,1614000,-302000,-15.8
"ЕtА Justmoved 2","334893145",2794500,2287500,-507000,-18.1
"EtA Justmoved","517836395",2759000,2132000,-627000,-22.7
"DΔrth ρΣchΣnkΔ","246677812",3846000,2913000,-933000,-24.3
"EtA Эот Линг","863723981",1826000,1375250,-450750,-24.7
"Dimaster","689298847",3488000,2611500,-876500,-25.1
"VALHALLA","993521442",2095500,1383750,-711750,-34
"o1331","557856615",3154000,2069750,-1084250,-34.4
"Voltick","583857763",1649500,1071500,-578000,-35
"13nox","828983576",2554500,1516500,-1038000,-40.6
"AngelAzrael","395644522",1620500,913750,-706750,-43.6
"Maximus357","932898825",2784500,1529000,-1255500,-45.1
"falkon","541666853",3988000,1870000,-2118000,-53.1
"Alphas","881391558",3031500,1373000,-1658500,-54.7
"Merioon Valhoun","422484435",3491000,1532500,-1958500,-56.1
"HelpfulDeviL","143824263",2509000,219500,-2289500,-91.3
"LeviOsa","148736362",1747000,0,-1747000,-100
"traptile","484167128",2584500,0,-2584500,-100
